aX,aY,aZ,gX,gY,gZ
-0.382,1.412,0.343,23.800,40.530,-36.400
-0.409,1.400,0.380,13.580,44.520,-36.890
-0.444,1.418,0.439,-4.550,44.800,-26.810
-0.458,1.401,0.500,9.590,44.590,-14.770
-0.442,1.368,0.537,31.360,39.480,-2.100
-0.474,1.326,0.581,45.290,35.070,0.420
-0.491,1.260,0.580,46.270,26.880,4.620
-0.505,1.208,0.586,31.080,25.410,11.060
-0.545,1.173,0.571,12.180,25.970,16.310
-0.585,1.158,0.564,-10.500,25.970,21.350
-0.662,1.167,0.544,-35.420,23.730,28.070
-0.713,1.170,0.523,-56.210,15.540,34.720
-0.742,1.115,0.510,-80.220,6.790,32.480
-0.738,1.095,0.455,-95.550,-2.030,26.390
-0.724,1.090,0.398,-101.920,-9.030,22.260
-0.730,1.086,0.328,-111.720,-18.340,20.090
-0.708,1.091,0.240,-125.440,-22.330,20.650
-0.702,1.100,0.184,-134.960,-24.710,28.770
-0.696,1.121,0.166,-142.870,-27.230,39.620
-0.673,1.150,0.181,-150.640,-30.450,49.980
-0.606,1.181,0.216,-145.040,-31.360,60.760
-0.508,1.171,0.334,-127.120,-34.020,74.130
-0.502,1.117,0.446,-119.000,-40.250,82.880
-0.456,1.042,0.507,-123.200,-49.070,85.540
-0.373,0.973,0.549,-133.070,-55.580,89.670
-0.347,0.917,0.559,-135.800,-58.100,94.360
-0.309,0.859,0.566,-139.230,-58.030,97.160
-0.274,0.791,0.595,-144.830,-56.630,97.580
-0.244,0.728,0.613,-151.340,-55.090,100.590
-0.254,0.715,0.630,-158.130,-54.880,111.930
-0.257,0.686,0.649,-158.620,-55.230,120.470
-0.217,0.682,0.671,-160.790,-58.800,131.600
-0.207,0.653,0.692,-159.740,-63.140,142.170
-0.241,0.563,0.681,-160.300,-71.260,141.260
-0.211,0.431,0.660,-148.540,-69.230,129.500
-0.142,0.333,0.756,-128.870,-73.010,107.800
-0.061,0.196,0.866,-114.240,-83.510,91.630
0.008,0.148,0.966,-121.520,-93.660,78.330
0.080,0.119,0.975,-127.050,-102.340,71.540
0.165,0.106,0.911,-117.110,-106.890,63.560
0.280,0.124,0.867,-123.760,-93.100,62.930
0.337,0.171,0.855,-119.420,-75.390,65.520
0.405,0.204,0.850,-108.850,-64.330,77.630
0.408,0.254,0.894,-101.640,-60.130,85.960
0.438,0.264,0.913,-95.200,-59.710,93.730
0.457,0.229,0.891,-84.910,-66.150,100.310
0.478,0.150,0.813,-73.220,-66.640,102.830
0.497,0.087,0.766,-64.260,-64.750,102.410
0.492,0.036,0.746,-59.290,-56.700,92.540
0.518,-0.055,0.701,-61.110,-46.480,83.440
0.539,-0.105,0.667,-56.140,-18.130,76.510
0.622,-0.138,0.653,-51.520,-17.360,74.130

0.773,-0.791,1.037,63.420,4.060,78.610
0.806,-0.834,1.039,62.370,-6.790,72.030
0.803,-0.854,1.102,67.200,-5.460,60.200
0.772,-0.870,1.157,75.320,10.220,47.880
0.720,-0.847,1.187,73.080,15.470,31.360
0.667,-0.816,1.342,68.180,24.780,20.860
0.598,-0.731,1.369,39.480,7.770,12.460
0.543,-0.676,1.340,12.040,-0.420,-2.590
0.508,-0.632,1.323,-5.810,-2.520,-25.130
0.484,-0.561,1.276,-11.410,-7.770,-41.930
0.517,-0.487,1.234,-10.570,-10.780,-53.760
0.562,-0.427,1.191,-5.740,-7.280,-60.900
0.583,-0.380,1.152,-4.130,-4.900,-69.440
0.624,-0.344,1.125,-4.830,-1.470,-70.070
0.661,-0.303,1.140,-4.410,-5.110,-68.670
0.689,-0.275,1.103,-1.890,-10.640,-67.480
0.712,-0.273,1.054,9.450,-8.610,-68.950
0.714,-0.285,1.004,24.220,-4.970,-71.260
0.721,-0.317,0.966,34.020,3.010,-74.480
0.708,-0.341,0.953,35.210,8.330,-76.440
0.691,-0.352,0.910,33.320,11.830,-77.490
0.658,-0.350,0.913,29.750,14.910,-80.290
0.618,-0.292,0.930,13.300,16.380,-83.300
0.587,-0.248,0.908,6.580,20.930,-85.260
